Id,Nom_festival,Type,Region,Ville,Geocode,Annee,Site_internet,Genre_musique,Spectacle_vivant,Cinema_audiovisuel,Art,Livre_litterature
FEST_11262_4334,Festival Musique & Histoire,Musique,Occitanie,Narbonne,"43.1652399898, 3.02023868739",2005,https://www.tourisme-occitanie.com/fr/fiche/fete-et-manifestation/festival-musique-et-histoire-a-l-abbaye-de-fontfroide-narbonne_TFOFMALAR0110013397/,Musique classique,,,,
FEST_48104_4344,Mordorfest,Musique,Occitanie,Nasbinals,"44.6444140961, 3.04893734063",2019,https://mordorfest.fr,,,,,
FEST_36137_4349,Fête de la Marionnette,Spectacle vivant,Centre-Val de Loire,Néons-sur-Creuse,"46.734899055, 0.917095458404",1999,www fetemarionnette.org,,Marionnettes et théâtre d'objet,,,
FEST_83090_4513,Festival d'été de Châteauvallon,Spectacle vivant,Provence-Alpes-Côte d'Azur,Ollioules,"43.1386133658, 5.85369204547",1970,www.chateauvallon-liberte.fr/festival/festival-dete-de-chateauvallon-2021/,,,,,
FEST_66133_4587,Concert d'été - Visages de Méditerranée,Musique,Occitanie,Palau-del-Vidre,"42.5687032771, 2.95809890817",2000,http://www.concertdetepalau.eu/,,,,,
FEST_54431_5134,La Mousson d'été,Spectacle vivant,Grand Est,Pont-à-Mousson,"48.9219828048, 6.05392690748",1995,meec.org,,Théâtre,,,
FEST_11266_5188,Festival en garrigue,Spectacle vivant,Occitanie,Port-la-Nouvelle,"43.0210644931, 3.03976442192",2006,www.theatre-en-garrigue.com,,"Théâtre, Danse, Conte",,,
FEST_79215_5204,Festival du Nombril,Spectacle vivant,Nouvelle-Aquitaine,Pougne-Hérisson,"46.660301587, -0.413918277159",1990,http://www.nombril.com,,Théâtre,,,
FEST_32331_5216,Festival Rock'n'stock,Musique,Occitanie,Preignan,"43.7210485292, 0.636835530591",1991,https://www.rocknstock.org,"Pop, rock",,,,
FEST_11309_5419,Festival international du film insolite de Rennes-le-Château,"Cinéma, audiovisuel",Occitanie,Rennes-le-Château,"42.9139113416, 2.27362239522",2015,festivalfilminsoliterenneslechateau.fr,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,
FEST_26281_5488,Cultures et traditions du monde,Spectacle vivant,Auvergne-Rhône-Alpes,Romans-sur-Isère,"45.0547531985, 5.03797756012",1978,www.empi-et-riaume.com,,Danse,,,
FEST_11319_5494,Jazz sous les châtaigniers,Musique,Occitanie,Roquefère,"43.3939652788, 2.37477905225",2000,www.jazz-roquefere.com,"Jazz, blues",,,,
FEST_17306_5558,Un violon sur le sable,Musique,Nouvelle-Aquitaine,Royan,"45.6346574238, -1.01791403375",1988,http://www.violonsurlesable.com/,Musiques classiques et savantes,,,,
FEST_22278_5681,Bulles à Croquer,"Livre, littérature",Bretagne,Saint-Brieuc,"48.5149806053, -2.76154552773",2009,http://bullesacroquer.net/,,,,,"Bande dessinée, comics, manga"
FEST_66175_5605,Festival lyrique des pays catalans,Musique,Occitanie,Saint-Génis-des-Fontaines,"42.5501690702, 2.92022187545",1996,https://www.po-cket.fr/fr/il4-agenda-ouverture-du-festival-lyrique-des-pays-catalans.aspx?Cle=FMALAR066V520FHF,"Musique classique, Opéra",,,,
FEST_17333_5859,Humour et Eau Salée,Spectacle vivant,Nouvelle-Aquitaine,Saint-Georges-de-Didonne,"45.6036278448, -0.980098297165",1986,http://www.crea-sgd.org,,Spectacle vivant pluridisciplinaire,,,
FEST_26307_5935,Festival des chapelles Royans Vercors,Musique,Auvergne-Rhône-Alpes,Saint-Jean-en-Royans,"45.0069955398, 5.29934748057",2009,www.festivaldeschapelles.fr,"jazz, blues, Musique classique, Musiques du monde, Opéra",,,,
FEST_35288_6001,Festival de Musique Sacrée,Musique,Bretagne,Saint-Malo,"48.6400443482, -1.98060627256",1972,https://www.festivaldemusiquesacree-stmalo.com/,Musique classique,,,,
FEST_71445_6017,Trad'Envol,Spectacle vivant,Bourgogne-Franche-Comté,Saint-Marcel,"46.77487928, 4.88727108461",2015,https://www.tradenvol.com/?fbclid=IwAR0bz-kmbJ-ELXuzy7r8XNYwFAMZYIbbll8WN7s-xoAlRupZHDhuDBPKci0,,,,,
FEST_82169_5618,Grav'ment jazz,Musique,Occitanie,Saint-Nicolas-de-la-Grave,"44.0658425315, 1.02023020877",2016,https://www.ladepeche.fr/2021/08/04/le-festival-gravment-jazz-revient-cet-ete-9712735.php,,,,,
FEST_26324_6103,Saint-Paul Soul Funk,Musique,Auvergne-Rhône-Alpes,Saint-Paul-Trois-Châteaux,"44.3482808478, 4.75744934383",2006,www.saintpaul-soulfunk.fr,"jazz, blues, RnB, Funk",,,,
FEST_85280_6201,Les nocturnes en Sallertaine,Spectacle vivant,Pays de la Loire,Sallertaine,"46.8659054157, -1.94894081389",2018,http://www.lileauxartisans.fr/programme-nocturnes-2020/,,"Cirque, Arts de la rue",,,
FEST_13103_6206,Festival international de musique de chambre,Musique,Provence-Alpes-Côte d'Azur,Salon-De-Provence,"43.6462885238, 5.06814649576",1993,https://festival-salon.fr,Musique savante,,,,
FEST_50567_6268,Festival Réveillez les Chouettes,Musique,Normandie,Saussemesnil,"49.5728877751, -1.4894487737",2012,www.rlchouettes.fr,"Chanson ou variété française, Musique contemporaine",,,,
FEST_92071_6290,Paroles - Fstival de lectures publiques,Spectacle vivant,Île-de-France,Sceaux,"48.776816369, 2.29529414514",2019,www.sceaux.fr,,Théâtre,,,
FEST_31555_6672,Forum des Langues du Monde,Spectacle vivant,Occitanie,Toulouse,"43.5963814303, 1.43167293364",1993,https://www.arnaud-bernard.org/forom-des-langues/,,,,,
FEST_37261_6748,Les Îlots Électroniques,Musique,Centre-Val de Loire,Tours,"47.3986382281, 0.696526376417",2013,http://www.lesilots.fr,"Musiques électroniques, techno",,,,
